,TeamName,Year,Wins,Losses,OTLosses,Win%,GoalsFor(GF),GoalsAgainst(GA),+/-
555,EdmontonOilers,1990,37,37,,0.463,272,272,0
556,HartfordWhalers,1990,31,38,,0.388,238,276,-38
557,LosAngelesKings,1990,46,24,,0.575,340,254,86
558,MinnesotaNorthStars,1990,27,39,,0.338,256,266,-10
559,MontrealCanadiens,1990,39,30,,0.487,273,249,24
560,NewJerseyDevils,1990,32,33,,0.4,272,264,8
561,NewYorkIslanders,1990,25,45,,0.312,223,290,-67
562,NewYorkRangers,1990,36,31,,0.45,297,265,32
563,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
564,PittsburghPenguins,1990,41,33,,0.512,342,305,37
565,QuebecNordiques,1990,16,50,,0.2,236,354,-118
566,St.LouisBlues,1990,47,22,,0.588,310,250,60
567,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
568,VancouverCanucks,1990,28,43,,0.35,243,315,-72
569,WashingtonCapitals,1990,37,36,,0.463,258,258,0
570,WinnipegJets,1990,26,43,,0.325,260,288,-28
571,BostonBruins,1991,36,32,,0.45,270,275,-5
572,BuffaloSabres,1991,31,37,,0.388,289,299,-10
573,CalgaryFlames,1991,31,37,,0.388,296,305,-9
574,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
575,BostonBruins,1990,44,24,,0.55,299,264,35
576,BuffaloSabres,1990,31,30,,0.388,292,278,14
577,CalgaryFlames,1990,46,26,,0.575,344,263,81
578,ChicagoBlackhawks,1990,49,23,,0.613,284,211,73
579,DetroitRedWings,1990,34,38,,0.425,273,298,-25
580,EdmontonOilers,1990,37,37,,0.463,272,272,0
581,HartfordWhalers,1990,31,38,,0.388,238,276,-38
582,LosAngelesKings,1990,46,24,,0.575,340,254,86
583,MinnesotaNorthStars,1990,27,39,,0.338,256,266,-10
584,MontrealCanadiens,1990,39,30,,0.487,273,249,24
585,NewJerseyDevils,1990,32,33,,0.4,272,264,8
586,NewYorkIslanders,1990,25,45,,0.312,223,290,-67
587,NewYorkRangers,1990,36,31,,0.45,297,265,32
588,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
589,PittsburghPenguins,1990,41,33,,0.512,342,305,37
590,QuebecNordiques,1990,16,50,,0.2,236,354,-118
591,St.LouisBlues,1990,47,22,,0.588,310,250,60
592,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
593,VancouverCanucks,1990,28,43,,0.35,243,315,-72
594,WashingtonCapitals,1990,37,36,,0.463,258,258,0
595,WinnipegJets,1990,26,43,,0.325,260,288,-28
596,BostonBruins,1991,36,32,,0.45,270,275,-5
597,BuffaloSabres,1991,31,37,,0.388,289,299,-10
598,CalgaryFlames,1991,31,37,,0.388,296,305,-9
599,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
